Time(Iteration),oracleLinUCB,adTS,dLinUCB,CoDBand,DyClu
0,3.7103150195210177,3.837134747665056,1.4970533395825911,3.0297195012893967,2.59275552176299
1,5.729713263011571,7.268840091304356,4.138739122538518,5.737556239581966,5.420353325346212
2,7.194196223005786,9.71584666429923,5.660001653414724,7.051784683444984,6.981931608814037
3,8.670189244618644,12.31985036108554,8.53447811011842,8.511183379761821,9.17214581192646
4,10.101239065380353,15.124464965440623,10.79045630065862,9.301854507264046,11.14045365124191
5,11.893599329698391,18.2698144653034,13.37985473967404,10.894310427070348,13.74269109011623
6,12.340681812581241,20.4904947798996,16.2578484945642,12.55768463027804,14.799409101140192
7,13.631588844855871,22.444854832064834,17.752859945877585,13.666904497975537,16.351928239445797
8,15.099608520691818,24.84992827605515,20.346646497791916,15.156316709432847,17.455671428860466
9,15.165529351990841,28.357227783386648,22.20406253705525,16.26923656403009,18.247891099888307
10,15.55562289136476,30.230886222468925,23.969939808928626,17.743572926653925,19.066994944805806
11,15.781740904151867,32.3047730914027,25.373282555110936,19.177574570741236,20.101042289380327
12,15.961112232882154,34.90664273172819,26.15921970075762,20.260202134259778,21.31813105645211
13,16.09195560230819,36.833816520777106,27.809632287467725,21.23062113957456,23.05505795230669
14,16.15175991790606,39.44950317516689,29.715236273093755,21.978682957011035,24.55876587715383
15,16.260953035932822,41.13054150785086,31.635855288711323,22.427512893969094,25.131854587964167
16,16.299364008590135,44.27432634641314,34.23906114390875,23.970633768108375,25.9082522663538
17,16.313600815375366,45.967853811810706,36.0647980205155,25.376829741094486,26.776949369107772
18,16.511412316252915,47.96608985182049,37.61741562960561,26.224346336154685,27.25608401896112
19,16.720526001655916,50.69006990234518,38.92333156666542,27.649542620060192,28.156740593779325
20,16.738455662047095,53.06510666639621,40.441659399357555,28.306473269713013,28.742605108604046
21,16.780077184235157,55.491479141009926,41.83772602673495,29.309578491319627,29.837771491182135
22,16.884156918262974,57.56911659941213,44.22289725980111,29.62786313736127,30.516072518615058
23,17.01778653773549,60.07696643366432,45.68058416793583,29.730867257730704,30.733342264037738
24,17.09683498209413,62.54495163443672,47.121706816404924,30.135157002489603,31.11957445981284
25,17.143760851133184,64.68362913701358,48.4478108096844,30.94665296305382,31.729822207055562
26,17.161460627791353,68.27819855656665,49.35043829397341,31.658562505117207,31.902559212288608
27,17.477887797190537,70.43833716707566,51.343372519772394,32.45798992726366,32.14973389700747
28,17.57399257007321,71.60226697128768,52.724276339288544,33.018130510477675,32.68513931817269
29,17.987555156324714,73.32491224512205,53.288254872785124,33.665154194044916,33.05941230530929
30,17.991612321201828,75.3619399834331,54.73058677742735,33.76879204120897,33.37638214754016
31,18.064442723913395,78.19058547869004,56.26685473183477,34.68971552618928,33.52521294684824
32,18.16099097738666,79.96831639201447,57.03660392768357,35.136670882275965,33.63941746335456
33,18.218960410817292,81.1114939752977,58.324253346036315,35.401409713060076,34.14468080047339
34,18.218960410817292,84.28662205372903,58.883671517341924,35.401409713060076,34.157130962222745
35,18.256940478061633,86.30505334554809,59.21174757807177,35.401409713060076,34.195111029467085
36,18.27324839204683,88.12638449746403,59.58066706804239,35.431809878474,34.26390212115253
37,18.477394625872503,90.34917935682095,60.45974994849661,35.5935582162732,34.493718488936615
38,18.515926564212823,92.70223030561156,61.13933144266791,35.61660207424946,34.50920656930068
