Time(Iteration),DisLinUCBTheta,AsyncLinUCBTheta,AsyncLinUCB_AMTheta
0,0.9820987571884158,0.9820987571884158,0.9820987571884158
1,0.99946147570161,0.99946147570161,0.99946147570161
2,1.0014923358709937,1.0014923358709937,1.0014923358709937
3,0.99875906134936,0.99875906134936,0.99875906134936
4,0.9463062089498918,0.9463062089498918,0.9463062089498918
5,0.9512640775243758,0.9512640775243758,0.9512640775243758
6,1.004398333615072,1.004398333615072,1.004398333615072
7,0.8899305150488684,0.8899305150488684,0.8899305150488684
8,1.0047232639344208,1.0047232639344208,1.0047232639344208
9,0.9889769785176096,0.9889769785176096,0.9889769785176096
10,1.012016105762716,1.012016105762716,1.012016105762716
11,1.0150869752392975,1.0150869752392975,1.0150869752392975
12,0.8011443770162104,0.8011443770162107,0.8810044253420846
13,0.9310091655472622,0.9310091655472622,0.9310091655472622
14,1.0086741410586253,1.0086741410586253,1.0086741410586253
15,1.0034238631345378,1.0034238631345378,1.0034238631345378
16,0.9723448010777245,0.9723448010777245,0.9723448010777245
17,0.9909729595851251,0.9909729595851251,0.9909729595851251
18,0.9957890423773442,0.9957890423773442,0.9957890423773442
19,0.9752927060345117,0.9752927060345117,0.9752927060345117
20,0.9867728992051259,0.9867728992051259,0.9867728992051259
21,0.9810408137421016,0.9810408137421016,0.9810408137421016
22,0.9497911340569934,0.9497911340569934,0.9497911340569934
23,1.009829492943758,1.009829492943758,1.009829492943758
24,0.9343448293884462,0.9343448293884462,0.9343448293884462
25,0.9991946760642753,0.9991946760642753,0.9991946760642753
26,0.9901741109861623,0.9901741109861623,0.9901741109861623
27,0.9937685379723605,0.9937685379723605,0.9937685379723605
28,0.9870197177669608,0.9870197177669608,0.9870197177669608
29,1.0175870826146336,1.0175870826146336,1.0175870826146336
30,1.030740048756185,1.030740048756185,1.030740048756185
31,1.0071070337004708,1.0071070337004708,1.0071070337004708
32,0.9795201849834253,0.9795201849834253,0.9795201849834253
33,0.9444349514598832,0.9444349514598832,0.9444349514598832
34,1.009141093911688,1.009141093911688,1.009141093911688
35,0.9431651101464039,0.9431651101464039,0.9431651101464039
36,0.9893228129778033,0.9893228129778033,0.9893228129778033
37,1.0038251434050043,1.0038251434050043,1.0038251434050043
38,1.000170636381644,1.000170636381644,1.000170636381644
39,0.9862708459548201,0.9862708459548201,0.9862708459548201
40,0.9952483809025976,0.9952483809025976,0.9952483809025976
41,0.9888999895087538,0.9888999895087538,0.9888999895087538
42,0.9363325933304538,0.9363325933304538,0.9363325933304538
43,1.0000346973473953,1.0000346973473953,1.0000346973473953
44,0.9359849132909837,0.9359849132909837,0.9359849132909837
45,0.994746538444959,0.994746538444959,0.994746538444959
46,0.8908881956336043,0.8908881956336043,0.8908881956336043
47,0.9742494830524869,0.9742494830524869,0.9742494830524869
48,0.9426468954679635,0.9426468954679635,0.9426468954679635
49,0.9427051850814725,0.9427051850814725,0.9427051850814725
50,1.0064960337403048,1.0064960337403048,1.0064960337403048
51,0.8716697697078687,0.8716697697078687,0.8716697697078687
52,0.9928222727112144,0.9928222727112144,0.9928222727112144
53,0.9836929912233426,0.9836929912233426,0.9836929912233426
54,1.000958528365395,1.000958528365395,1.000958528365395
55,0.9998399147115036,0.9998399147115036,0.9998399147115036
56,1.0096413541927425,1.0096413541927425,1.0096413541927425
57,1.0091155939640517,1.0091155939640517,1.0091155939640517
58,1.000673594326337,1.000673594326337,1.000673594326337
59,0.518446291157571,0.5211277368526431,0.565454472794293
60,0.9796176530626178,0.9796176530626178,0.9796176530626178
61,1.0021903112791644,1.0021903112791644,1.0021903112791644
62,0.9685429374531646,0.9685429374531646,0.9685429374531646
63,0.9250436512532486,0.9250436512532486,0.9250436512532486
