Time(Iteration),oracleLinUCBTheta,adTSTheta,dLinUCBTheta,CoDBandTheta,DyCluTheta
0,0.9722462386697336,0.9931093950126544,0.9730510948848119,0.9894571546278632,0.9897604579749621
1,0.9230180651017058,0.9765819400479858,0.9479380362249845,1.0383212962251125,0.968823422695339
2,0.9083737956728333,0.9617108053858365,0.9319958054749797,1.2056287344543302,0.9580502410958636
3,0.8857605537233152,0.9521199834496441,0.9078273759359478,2.0033176629761056,0.9541044332860714
4,0.8902911333197372,0.9463043206452306,0.9086306849447368,1.5523755732667381,0.9294451621520279
5,0.767866946066827,0.9326487537229415,0.8931837158689518,1.3170124521494162,0.909702491811133
6,0.6709780149625288,0.9247017448204776,0.877401272369484,0.954966974143322,0.901063001682344
7,0.6163569816483863,0.917675922690891,0.8661973746777771,0.9938448569199242,0.8994693048685034
8,0.5836356463422281,0.9140487388860954,0.8635168578417775,0.983309764926527,0.8946544916504265
9,0.4736563999003791,0.8871591600066739,0.8557443604336322,0.9893855966515215,0.8439882268246116
10,0.4157573517620369,0.8727362597473138,0.8345358268926588,0.9156620352813443,0.83683971936524
11,0.36330860750250316,0.8678281439018228,0.8278427474282342,0.8949173618501647,0.8246401056189132
12,0.33447848188822954,0.8531998276180739,0.8175636382154581,0.8745933797438651,0.8153121994593919
13,0.34155010860556634,0.8467539644629383,0.8225923623258977,0.8122912840199916,0.8097446514266549
14,0.36345222275605626,0.8227432136785164,0.7864096418137538,0.7926145006730143,0.7944990886936344
15,0.33186530168498346,0.8048318157969954,0.7714711850167923,0.783181302198597,0.7752039696108958
16,0.32263154439795766,0.7931013939974635,0.7759064406109248,0.7533595344979978,0.7640131909939352
17,0.33255448504770346,0.7819821349976692,0.7604477407839978,0.7547054494260896,0.7533394767218136
18,0.3276298466626409,0.7741001478718446,0.747773187649272,0.7515083562664178,0.7398852694565566
19,0.33489997662126225,0.7708083500439492,0.7260921398969399,0.7403771179119606,0.7278711125866859
20,0.3281288710638804,0.7602439515923903,0.7171980942495109,0.7577678075392453,0.7422178295087402
21,0.3328711305999956,0.7527950203046532,0.716836936730924,0.76315666162512,0.7361266363356804
22,0.3167166993632796,0.7436254584089743,0.7156625556525819,0.7567463091596833,0.7471725758415244
23,0.2996597969149132,0.7379674131034403,0.6806414846360137,0.7551691873470159,0.7355857474771177
24,0.3162938351460744,0.7363211627941493,0.6705666633018487,0.7585396162407035,0.7183840061905971
25,0.3184419166651248,0.7266604204957814,0.6573703056536603,0.7472897082423041,0.7061916039280814
26,0.33111963870262356,0.7201465518149848,0.6402735449129789,0.7346414461080162,0.7066197598084526
27,0.3231622809449293,0.7143022588337831,0.6134491682162048,0.7337559305231826,0.6928185581095683
28,0.3141194002787048,0.7032194082853327,0.5993580272916808,0.7358673929062352,0.7001079065895837
29,0.3112299274638638,0.7024523385315649,0.6018235600354658,0.7305923636241782,0.6859630508138749
30,0.29737725324195063,0.69256983379079,0.60600296498858,0.7250891158975471,0.6837024978966164
31,0.300029548464463,0.6904381906453205,0.6133018972726021,0.7311412900845469,0.6593364493002004
32,0.29768267805183335,0.6839648013487576,0.598587092967782,0.6387144383848808,0.6447266086913244
33,0.29487334952502486,0.681462682416375,0.6029442354605058,0.2385174391550399,0.6448685037716009
34,0.29320846856625693,0.671292809151912,0.5815141068520445,0.2306604881613604,0.6466838307349196
35,0.2926124817476814,0.6579283644626,0.5724832415951637,0.23340438395312998,0.6415965154205214
36,0.29330178865152534,0.6513779331209935,0.5701371333298085,0.23571745633224678,0.6140844286397081
37,0.293518028201852,0.6448837734056895,0.5539958918066014,0.23602880203557172,0.6070887253075221
38,0.2937720259649591,0.637645968185779,0.556277827092217,0.2295678336252907,0.5900223329335846
