Time(Iteration),DisLinUCB,AsyncLinUCB,AsyncLinUCB_AM,FedGLB_UCB
0,0.6453689336460109,0.6453689336460109,0.6453689336460109,0.6453689336460109
1,1.1548503466257358,1.1548503466257358,1.1548503466257358,1.1569959719738305
2,1.5158722290238749,1.5158722290238749,1.5158722290238749,1.5249331474535772
3,1.8410909790780268,1.8410909790780268,1.8410909790780268,1.7581365861857061
4,2.689753529960349,2.689753529960349,2.689753529960349,2.6067991370680286
5,2.7553550179646638,2.7553550179646638,2.7553550179646638,2.6724006250723433
6,3.0537283093066216,3.0537283093066216,3.0537283093066216,2.970773916414301
7,3.0537283093066216,3.0537283093066216,3.0537283093066216,3.6269181700248274
8,3.445595255345096,3.445595255345096,3.445595255345096,4.09866926088666
9,3.7601387716815675,3.7601387716815675,3.7601387716815675,4.413212777223131
10,4.0115953537420275,4.0115953537420275,4.0115953537420275,4.664669359283591
11,4.43023173779095,4.43023173779095,4.43023173779095,5.083305743332514
12,4.476030237546827,4.476030237546827,4.828525078962946,5.129104243088391
13,5.2540753707691845,5.2540753707691845,5.606570212185304,5.509236872471659
14,5.637443756418881,5.637443756418881,5.989938597835,6.175199063383545
15,6.187612709540956,6.187612709540956,6.540107550957075,6.658518318905332
16,6.33306557418689,6.33306557418689,6.6855604156030095,7.28106607894458
17,6.770104552005193,6.770104552005193,7.122599393421312,7.727588494542578
18,7.296480255996221,7.296480255996221,7.6489750974123405,7.838613008696396
19,7.533881724757075,7.533881724757075,7.886376566173194,8.354121347815727
20,7.533881724757075,7.533881724757075,7.886376566173194,8.354121347815727
21,8.146373412368844,8.146373412368844,8.498868253784963,8.551206688567838
22,8.900931983337331,8.900931983337331,9.25342682475345,8.848173857871764
23,9.11075017331745,9.11075017331745,9.46324501473357,9.291492368753778
24,9.725007989694683,9.725007989694683,10.077502831110802,9.39669004953874
25,10.189521364769242,10.189521364769242,10.54201620618536,9.861203424613299
26,10.645682634685238,10.645682634685238,10.998177476101358,10.317364694529296
27,10.970773894370637,10.970773894370637,11.323268735786757,11.411617631971817
28,11.506643027828982,11.506643027828982,11.859137869245101,11.947486765430162
29,11.794195769034207,11.794195769034207,12.146690610450326,12.235039506635387
30,12.043463430355663,12.043463430355663,12.395958271771782,12.484307167956842
31,12.315732233552607,12.315732233552607,12.668227074968726,12.79696070896958
32,13.050559762820132,13.050559762820132,13.403054604236251,13.247370476161693
33,13.718494080116477,13.718494080116477,14.070988921532596,13.915304793458038
34,13.88100913569556,13.88100913569556,14.23350397711168,14.16351095760882
35,14.702332427846477,14.702332427846477,15.054827269262596,14.984834249759736
36,15.363942145671226,15.363942145671226,15.716436987087345,15.355589840038501
37,15.983375065869327,15.983375065869327,16.335869907285446,15.975022760236602
38,16.310294857592673,16.310294857592673,16.66278969900879,16.03775011583396
39,16.863074011359917,16.863074011359917,17.215568852776034,16.562546400316094
40,17.133245642134476,17.133245642134476,17.485740483550593,16.85951356962002
41,17.754782548261254,17.754782548261254,18.10727738967737,17.481050475746798
42,18.50185515146782,18.50185515146782,18.854349992883936,17.80126460508478
43,18.73350242115699,18.73350242115699,19.08599726257311,18.16027284970083
44,19.446008784786038,19.446008784786038,19.798503626202155,18.558863550714673
45,20.00795289047162,20.00795289047162,20.36044773188774,19.120807656400256
46,20.00795289047162,20.00795289047162,20.36044773188774,19.74534914173846
47,20.372864291563882,20.372864291563882,20.72535913298,20.11026054283072
48,21.13349323605767,21.13349323605767,21.485988077473788,20.870889487324508
49,21.785872059466342,21.785872059466342,22.13836690088246,21.185396437731555
50,22.186251248422884,22.186251248422884,22.538746089839,21.42298337840905
51,22.186251248422884,22.186251248422884,22.538746089839,22.10864552229719
52,22.448431855409943,22.448431855409943,22.80092669682606,22.37082612928425
53,22.48257001711412,22.48257001711412,22.835064858530238,22.53553666616802
54,22.810167713307038,22.810167713307038,23.162662554723155,22.863134362360938
55,23.11838258502294,23.11838258502294,23.470877426439056,23.52820286857402
56,23.670302347306862,23.670302347306862,24.02279718872298,23.794003790076815
57,23.998645301251656,23.998645301251656,24.351140142667774,24.140128225095612
58,24.421601398897266,24.421601398897266,24.774096240313384,24.563084322741222
59,24.673057980957726,24.673057980957726,25.235534340510913,24.563084322741222
60,24.865623106659907,24.865623106659907,25.428099466213094,24.84532637828881
61,25.54934914495038,25.54934914495038,26.111825504503567,25.529052416579283
62,26.391957334769483,26.391957334769483,26.95443369432267,26.451724478368572
63,27.259518771949157,27.259518771949157,27.821995131502344,27.319285915548246
