Time(Iteration),DisLinUCB,AsyncLinUCB,AsyncLinUCB_AM,FedGLB_UCB
0,1300,650,650,0
1,3900,2600,2600,776
2,7800,5200,5200,2528
3,13000,8450,8450,5456
4,19500,12350,12350,9760
5,27300,16900,16900,15640
6,36400,22100,22100,23296
7,46800,27950,27950,32928
8,58500,34450,34450,44736
9,71500,41600,41600,58920
10,85800,49400,49400,75680
11,101400,57850,57850,95216
12,118300,66950,66950,117728
13,136500,68250,68250,143416
14,156000,78650,78650,172480
15,176800,79950,79950,205120
16,198900,91000,91000,241536
17,222300,92950,92950,281928
18,247000,105950,105950,326496
19,273000,107250,107250,375440
20,300300,108550,108550,428960
21,328900,123500,123500,487256
22,358800,124800,124800,550528
23,390000,140400,140400,618976
24,422500,142350,142350,692800
25,456300,158600,158600,772200
26,491400,161200,161200,857376
27,527800,178100,178100,948528
28,565500,181350,181350,1045856
29,604500,198900,198900,1149560
30,644800,202800,202800,1259840
31,686400,221000,221000,1376896
32,729300,225550,225550,1500928
33,773500,244400,244400,1632136
34,819000,249600,249600,1770720
35,865800,269100,269100,1916880
36,913900,274950,274950,2070816
37,963300,276250,276250,2232728
38,1014000,296400,296400,2402816
39,1066000,303550,303550,2581280
40,1119300,304850,304850,2768320
41,1173900,325650,325650,2964136
42,1229800,333450,333450,3168928
43,1285700,333450,333450,3405913
44,1342900,335400,335400,3624181
45,1401400,356850,356850,3851925
46,1461200,365300,365300,4089345
47,1522300,366600,366600,4336641
48,1584700,369200,369200,4594013
49,1648400,391300,391300,4861661
50,1713400,400400,400400,5139785
51,1779700,404300,404300,5428585
52,1847300,427050,427050,5728261
53,1916200,428350,428350,6039013
54,1986400,438100,438100,6361041
55,2057900,442650,442650,6694545
56,2130700,466700,466700,7039725
57,2204800,468000,468000,7396781
58,2280200,478400,478400,7765913
59,2356900,483600,483600,8147321
60,2434900,508300,508300,8541205
61,2514200,510250,510250,8947765
62,2594800,521300,521300,9367201
63,2676700,551200,551200,9799713
64,2759900,553800,553800,10245501
65,2844400,565500,565500,10704765
66,2930200,566800,566800,11177705
67,3017300,597350,597350,11664521
68,3105700,600600,600600,12165413
69,3195400,612950,612950,12680581
70,3286400,614900,614900,13210225
71,3377400,614900,614900,13792339
72,3469700,616200,616200,14343659
73,3563300,617500,617500,14909955
74,3658200,648700,648700,15491427
75,3754400,652600,652600,16088275
76,3851900,665600,665600,16700699
77,3949400,665600,665600,17369348
78,4046900,665600,665600,18045397
79,4145700,668200,668200,18688597
80,4245800,670150,670150,19347973
81,4347200,702650,702650,20023725
82,4449900,719550,719550,20716053
83,4553900,722800,722800,21425157
84,4659200,725400,725400,22151237
85,4765800,726700,726700,22894493
86,4873700,759850,759850,23655125
87,4982900,761150,761150,24433333
88,5093400,778700,778700,25229317
89,5205200,782600,782600,26043277
90,5318300,783900,783900,26875413
91,5432700,787150,787150,27725925
92,5548400,789100,789100,28595013
93,5665400,823550,823550,29482877
94,5783700,841750,841750,30389717
95,5903300,846300,846300,31315733
96,6024200,850850,850850,32261125
97,6146400,853450,853450,33226093
98,6269900,888550,888550,34210837
99,6394700,889850,889850,35215557
100,6520800,908700,908700,36240453
101,6648200,913900,913900,37285725
102,6776900,915200,915200,38351573
103,6906900,922350,922350,39438197
104,7038200,923650,923650,40545797
105,7170800,959400,959400,41674573
106,7304700,961350,961350,42824725
107,7439900,980850,980850,43996453
108,7576400,986700,986700,45189957
109,7714200,988650,988650,46405437
110,7852000,988650,988650,47700423
111,7989800,988650,988650,49005909
112,8128900,996450,996450,50264765
113,8269300,998400,998400,51535497
114,8411000,1036100,1036100,52828905
115,8554000,1056250,1056250,54134289
116,8698300,1062750,1062750,55457149
117,8843900,1065350,1065350,56803135
118,8990800,1073800,1073800,58161247
119,9139000,1076400,1076400,59542785
120,9288500,1114750,1114750,60936549
121,9439300,1116050,1116050,62359789
