Time(Iteration),oracleLinUCBTheta,adTSTheta,dLinUCBTheta,CoDBandTheta,DyCluTheta
0,0.9440295282263585,0.9830581361064803,0.9762400432247272,1.0003720514830936,0.9869765679600901
1,0.8709947834311608,0.9743255891157636,0.9697256841611177,0.9220753968938886,0.9639007017412077
2,0.7836595646641922,0.9627918048588322,0.9345856081676619,1.6129970190760416,0.9343636607540319
3,0.7297384223152706,0.9393847844225934,0.9139279758260385,2.5052036193552683,0.9025329974033148
4,0.6232805557810817,0.9156491691943625,0.8899331605899932,0.8855627652859008,0.8945090751444391
5,0.5956322361562882,0.9023270055620289,0.8771841628489921,0.9023523748415799,0.8631764271357273
6,0.5522399825786102,0.8945295424445476,0.8608587661249489,0.8872163999455298,0.8384040290353593
7,0.48929184360826117,0.8731550566884929,0.8358991908614402,0.7711934444529618,0.8142856818516165
8,0.491035486641512,0.8673441500151835,0.8064764155600223,0.7339556542475935,0.7776525633667889
9,0.46164717318577886,0.8599441773336786,0.8049091431189185,0.754829232975418,0.7851409469172892
10,0.42340564912805795,0.8525067774440368,0.8029314081238391,0.737795703843202,0.7708479348900388
11,0.388171735006045,0.8368010444221348,0.7851831753150981,0.7381815437825796,0.7619061575254092
12,0.3793138982739313,0.8098875260707222,0.766375213256234,0.7454097361145482,0.7586622682212928
13,0.39431092363413833,0.7983043480363969,0.7631150993578268,0.7549166719681694,0.730354732952445
14,0.38383377539857416,0.781659778473715,0.7460465990802242,0.7310984539872527,0.7165837823442465
15,0.35913375731666736,0.7726184029584863,0.7345273917758278,0.776953879533601,0.7246587966593104
16,0.3398692757054259,0.7604940064529513,0.7194006323952126,0.7908792296453814,0.711107334409485
17,0.31946066748600155,0.7469753212802067,0.7042392549994481,0.7652542050216953,0.6942544813903246
18,0.29901668027246897,0.7293270691391416,0.6924593744615829,0.742090081461799,0.6856598600416257
19,0.300644614238463,0.7175558092423289,0.7005785432255148,0.6975685296546098,0.686128994620554
20,0.3147294202657095,0.711232613353702,0.7070620334392608,0.6749202975403169,0.6726394632604198
21,0.3051381467480514,0.6971800602291781,0.7082482393700655,0.6655845553370361,0.6640568683289974
22,0.3159042224541947,0.685937735203862,0.7029434569953039,0.6746997755923008,0.6562649176745627
23,0.3211357186705409,0.6758401571112295,0.6841952198732173,0.665587093655032,0.6551753124783999
24,0.3102018749252499,0.6667475535027033,0.6771308977259709,0.6610935222324172,0.6495961738284863
25,0.3014016469751518,0.6589283903194584,0.6454667106974054,0.6499286455230647,0.6267425857989032
26,0.2911765873279346,0.6460136776336733,0.6341096931186164,0.6458326594368536,0.6197306495415845
27,0.28091922665561664,0.6333007845303751,0.6328757719574233,0.6502786526721163,0.6282133092444797
28,0.2768706774848968,0.6287072059140079,0.6209511793764471,0.6352054466301855,0.6037062604114275
29,0.26988702104545276,0.6237777811395304,0.618807674932437,0.6206128138117062,0.586956971491323
30,0.265079147432382,0.6175891111935117,0.5947086630328577,0.6062203570376876,0.5926359440807408
31,0.24432730450769125,0.6113434084934347,0.5845105908811042,0.6077157024122932,0.5990396922911055
32,0.23404569625618205,0.6051915848086529,0.5738508471472537,0.5949227458191068,0.5888287497502599
33,0.23430059464640177,0.5948905587517878,0.5623262869059472,0.5808776510940403,0.5788405097202692
34,0.23340729729232113,0.5870721899634559,0.546509504413184,0.5801275585676944,0.5648045888207953
35,0.229058171434969,0.5784172925446938,0.5257850730105929,0.5723989989092808,0.5406135655810395
36,0.22606332981046579,0.5656786004207482,0.5208934171769105,0.5749402920421642,0.5392716925511081
37,0.22714632717740302,0.5623729970561328,0.501240699588821,0.4292441421732966,0.5329595227563119
38,0.23181247909581487,0.5648602885028537,0.5162160355003791,0.25758371290620274,0.5389386897864736
39,0.22831454251334118,0.5561969709450532,0.5108182267955472,0.24444589191893712,0.5378160877792418
40,0.21809466303389552,0.5477761450453785,0.49294490857644807,0.23850941147630778,0.5398616186878168
41,0.20556175332047472,0.5447465565769289,0.46698076063252725,0.23060260198200763,0.5308531332471924
42,0.19404096361771583,0.5288812669789633,0.44532517676421757,0.23195631240062453,0.5244225850955699
43,0.19023446559197094,0.5262277652503642,0.4328164904195907,0.23486947065465272,0.5085359237148483
44,0.1868745974123578,0.5245217707859409,0.42818393678026945,0.2270856815657541,0.5112568614801724
45,0.1764814127183702,0.518198066354709,0.4238462091806204,0.22175666156839496,0.5065808690083369
46,0.16016185322778678,0.5084647506025176,0.4247906676099972,0.21874660453950523,0.5128456722896335
